Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_Time,Cluster
76,Mumbai,2023-06-03,19:32,Harassment,Andheri,19.94874088,77.84765527,1.0,55,0,1,03:51,6
77,Mumbai,2023-05-22,02:38,Harassment,Karol Bagh,29.30222173,76.13319891,3.0,37,0,0,14:28,7
78,Mumbai,2024-04-18,18:46,Fraud,Dwarka,23.16015984,77.37019651,1.0,4,1,1,19:38,8
80,Mumbai,2024-04-26,10:39,Theft,Connaught Place,27.71203439,76.41069495,9.0,12,1,1,18:36,-1
82,Mumbai,2023-02-22,18:40,Theft,Colaba,26.87780992,73.82087219,5.0,15,1,1,12:53,-1
84,Mumbai,2024-08-28,02:23,Fraud,Juhu,22.20423122,73.78023774,4.0,30,1,1,09:29,-1
87,Mumbai,2024-02-08,20:24,Fraud,Andheri,21.44914159,76.90190028,4.0,12,1,0,03:59,-1
89,Mumbai,2024-03-14,06:54,Theft,Andheri,29.37628237,76.97667984,6.0,34,0,1,01:05,-1
90,Mumbai,2023-05-15,05:29,Theft,Connaught Place,24.8054943,75.6163788,9.0,7,0,0,16:27,-1
91,Mumbai,2023-02-15,11:46,Theft,Karol Bagh,24.94032111,73.12145721,4.0,28,1,1,09:15,9
92,Mumbai,2023-01-21,07:11,Assault,Bandra,24.07136925,75.25221231,6.0,55,1,1,04:15,-1
93,Mumbai,2023-02-25,15:59,Assault,Lajpat Nagar,22.58479158,73.69499302,4.0,28,1,1,02:52,-1
94,Mumbai,2023-03-14,22:58,Burglary,Karol Bagh,24.23220534,73.94080401,2.0,29,1,1,08:59,-1
95,Mumbai,2024-08-07,06:20,Burglary,Karol Bagh,25.63088285,74.10916825,6.0,37,1,1,11:44,-1
96,Mumbai,2024-01-06,04:18,Burglary,Andheri,29.84590729,72.37991548,7.0,20,0,1,12:52,-1
97,Mumbai,2024-01-13,02:57,Assault,Karol Bagh,29.31541015,77.91577011,4.0,11,1,0,11:06,-1
98,Mumbai,2024-08-10,00:13,Assault,Saket,28.48368254,72.18920777,7.0,50,1,1,16:50,10
99,Mumbai,2024-12-24,18:29,Burglary,Dadar,28.78043589,75.97498124,8.0,50,0,1,03:10,11
102,Mumbai,2023-12-11,14:15,Burglary,Bandra,28.84573395,74.13748952,5.0,23,1,1,15:03,12
103,Mumbai,2023-01-19,05:29,Fraud,Andheri,23.32245841,76.04250388,2.0,52,0,0,00:15,-1
104,Mumbai,2024-09-28,16:41,Harassment,Lajpat Nagar,29.57938726,76.37541306,5.0,46,1,1,08:15,-1
105,Mumbai,2023-01-17,03:51,Assault,Karol Bagh,23.57364668,76.14331584,5.0,20,0,1,14:17,-1
106,Mumbai,2023-03-03,19:53,Burglary,Bandra,25.61190932,72.68377189,10.0,20,0,0,06:46,13
107,Mumbai,2023-11-28,10:55,Assault,Andheri,26.80785185,75.94135941,6.0,11,1,1,04:22,-1
108,Mumbai,2023-07-04,05:15,Assault,Juhu,29.45651214,73.6799253,8.0,2,0,0,12:51,14
109,Mumbai,2023-10-20,14:46,Assault,Bandra,21.69077901,72.17280822,6.0,13,1,1,21:30,-1
111,Mumbai,2024-11-19,23:02,Theft,Colaba,24.72897145,74.60125862,3.0,41,0,1,22:21,-1
113,Mumbai,2024-04-09,13:55,Theft,Dadar,27.54267524,76.22894499,1.0,15,1,1,04:20,-1
114,Mumbai,2024-03-22,16:30,Theft,Colaba,25.07444508,73.85306285,2.0,56,1,1,02:56,15
116,Mumbai,2023-01-15,13:16,Assault,Karol Bagh,22.55191175,72.36331354,5.0,31,1,0,04:13,-1
118,Mumbai,2023-09-09,03:45,Assault,Connaught Place,25.79089676,75.40695655,1.0,23,0,1,10:16,-1
119,Mumbai,2023-06-03,19:41,Assault,Lajpat Nagar,23.45401896,74.09655068,4.0,53,1,1,03:40,-1
121,Mumbai,2023-08-27,00:28,Assault,Karol Bagh,29.57804542,75.2241465,7.0,54,1,1,18:53,-1
123,Mumbai,2023-11-27,23:03,Fraud,Dadar,27.07312407,75.06794726,3.0,57,1,1,04:01,-1
126,Mumbai,2023-12-18,23:49,Fraud,Dadar,23.47880728,73.73374691,6.0,20,1,1,07:47,-1
127,Mumbai,2023-05-10,01:23,Burglary,Juhu,23.50116308,72.84446018,2.0,28,0,1,12:41,-1
129,Mumbai,2023-11-21,16:40,Theft,Dwarka,24.97816857,75.83634532,6.0,44,1,1,01:50,-1
130,Mumbai,2024-09-16,20:28,Theft,Dwarka,24.46869197,77.23723971,9.0,29,1,1,01:23,-1
131,Mumbai,2024-01-03,13:50,Harassment,Karol Bagh,20.48264363,74.45697767,3.0,5,0,1,04:11,16
141,Mumbai,2023-05-12,15:13,Fraud,Lajpat Nagar,27.46086856,76.27562811,7.0,51,1,0,04:20,-1
143,Mumbai,2023-11-04,10:41,Theft,Dwarka,29.56013069,74.97818623,4.0,45,1,1,03:53,-1
144,Mumbai,2024-09-28,22:04,Burglary,Connaught Place,28.02507419,74.83624139,10.0,54,1,1,13:06,17
145,Mumbai,2024-10-24,14:57,Harassment,Andheri,28.39343309,73.86422114,4.0,20,1,1,21:20,18
150,Mumbai,2023-05-06,14:21,Fraud,Bandra,28.40948978,72.18253389,2.0,35,0,1,23:09,-1
156,Mumbai,2024-06-09,16:18,Fraud,Juhu,27.77737508,75.51818485,1.0,55,1,1,10:34,-1
158,Mumbai,2024-11-27,11:36,Harassment,Saket,19.06347727,73.54722002,8.0,8,1,1,16:08,-1
160,Mumbai,2024-03-19,09:19,Fraud,Karol Bagh,23.4867342,73.89112374,9.0,29,0,1,19:23,-1
163,Mumbai,2024-07-20,09:30,Harassment,Karol Bagh,26.72306907,75.37138862,3.0,47,0,1,19:37,-1
164,Mumbai,2023-07-19,22:28,Theft,Connaught Place,26.92982541,74.60028509,8.0,47,1,1,21:19,-1
165,Mumbai,2023-05-02,21:18,Burglary,Saket,27.0131804,74.75349915,9.0,59,1,0,01:11,-1
167,Mumbai,2023-06-14,22:08,Theft,Bandra,29.49312884,73.77692681,2.0,7,1,1,06:22,19
170,Mumbai,2023-12-10,12:16,Harassment,Colaba,19.17207625,72.36687709,10.0,28,1,1,11:32,-1
171,Mumbai,2024-11-14,20:14,Harassment,Dadar,29.27244675,74.93598499,7.0,12,1,1,01:44,-1
174,Mumbai,2023-07-22,09:09,Assault,Dadar,20.02616123,72.41755108,5.0,29,1,1,20:21,-1
175,Mumbai,2024-11-24,18:00,Theft,Saket,27.12655832,72.92178912,4.0,11,0,0,20:10,-1
176,Mumbai,2023-10-19,08:23,Fraud,Saket,29.55908359,76.58640067,8.0,53,0,1,16:33,-1
183,Mumbai,2023-05-17,18:54,Theft,Juhu,29.26130843,76.87957381,5.0,33,1,1,02:37,-1
187,Mumbai,2023-01-08,15:41,Assault,Colaba,27.71097192,77.55604451,5.0,43,1,1,06:23,20
190,Mumbai,2023-12-23,05:30,Burglary,Dwarka,29.36190592,77.75245978,1.0,53,1,1,04:22,-1
196,Mumbai,2023-02-15,08:38,Burglary,Dadar,29.01874424,72.93904739,10.0,37,1,1,08:36,-1
197,Mumbai,2023-08-22,23:50,Fraud,Dadar,28.31209755,73.49935917,6.0,41,1,0,12:16,-1
198,Mumbai,2024-08-20,03:41,Fraud,Andheri,20.40249699,74.93111012,5.0,33,1,1,18:15,-1
202,Mumbai,2023-11-09,20:58,Burglary,Karol Bagh,21.93015406,75.10910965,2.0,18,1,0,13:00,-1
205,Mumbai,2024-04-09,16:57,Burglary,Colaba,23.42872582,75.10644394,4.0,41,1,0,16:59,-1
207,Mumbai,2023-03-05,06:23,Burglary,Colaba,23.22343784,72.01034893,5.0,2,1,1,09:34,21
208,Mumbai,2023-07-23,21:02,Fraud,Juhu,27.10498515,72.58599791,6.0,19,1,1,13:08,-1
209,Mumbai,2023-12-07,12:40,Burglary,Dadar,24.23536439,72.60933962,6.0,10,1,1,23:42,-1
217,Mumbai,2024-09-24,18:33,Theft,Saket,24.45841427,75.05866107,8.0,51,0,1,09:41,-1
219,Mumbai,2024-07-16,08:51,Assault,Bandra,22.68208859,76.83725793,10.0,47,1,0,18:06,-1
223,Mumbai,2023-07-19,07:14,Assault,Andheri,24.41774039,76.55204331,8.0,10,1,1,14:10,-1
224,Mumbai,2023-02-21,22:45,Fraud,Saket,29.06374765,72.58547502,6.0,56,1,1,11:16,-1
225,Mumbai,2024-03-28,14:11,Fraud,Andheri,24.3811617,72.24146862,9.0,46,1,1,11:46,22
226,Mumbai,2024-03-02,01:38,Assault,Colaba,23.95291713,76.51941849,2.0,51,0,0,06:38,-1
228,Mumbai,2023-08-11,08:05,Burglary,Lajpat Nagar,22.38420596,77.97329559,10.0,50,0,1,02:48,-1
231,Mumbai,2023-08-01,02:57,Theft,Connaught Place,21.73389318,74.87989839,9.0,12,1,1,19:54,-1
232,Mumbai,2023-06-08,04:33,Harassment,Dwarka,22.3457078,76.96290117,4.0,40,0,1,07:09,-1
233,Mumbai,2023-11-02,09:03,Theft,Dwarka,27.47895974,76.90276369,5.0,48,0,0,20:47,-1
234,Mumbai,2023-04-07,06:14,Burglary,Bandra,22.59943301,77.49595201,2.0,57,1,1,08:29,-1
235,Mumbai,2023-10-05,07:37,Burglary,Juhu,21.66415481,73.78710007,3.0,56,1,0,00:28,-1
236,Mumbai,2023-03-16,18:30,Fraud,Dadar,20.85963524,77.69879612,1.0,8,1,1,18:09,23
237,Mumbai,2023-10-07,14:06,Harassment,Juhu,27.52344242,72.91000176,4.0,24,1,1,12:08,-1
238,Mumbai,2024-12-09,17:56,Theft,Dwarka,20.42676884,72.49181267,2.0,14,1,1,11:42,24
240,Mumbai,2023-03-10,20:04,Assault,Dwarka,24.57623128,76.96993781,1.0,50,0,1,15:18,-1
241,Mumbai,2023-10-01,06:30,Burglary,Saket,26.56128904,74.84052678,10.0,56,0,1,06:07,-1
243,Mumbai,2024-07-23,02:30,Theft,Karol Bagh,27.9179274,76.37812083,4.0,54,1,1,01:13,-1
246,Mumbai,2024-11-20,06:38,Theft,Dwarka,22.08147531,72.36468701,7.0,45,1,1,07:47,-1
251,Mumbai,2024-01-28,14:49,Fraud,Andheri,26.30074927,73.03100734,1.0,58,1,1,16:59,-1
253,Mumbai,2024-06-21,18:51,Harassment,Lajpat Nagar,26.91417254,73.15760662,10.0,20,0,1,08:09,-1
258,Mumbai,2024-06-28,08:31,Theft,Karol Bagh,19.87768036,75.4138202,5.0,33,1,1,02:50,-1
259,Mumbai,2023-02-09,20:11,Theft,Colaba,23.59766498,77.35923953,5.0,5,1,1,15:37,-1
262,Mumbai,2024-06-01,09:41,Theft,Dwarka,19.96939226,76.00564338,8.0,26,0,1,08:21,-1
266,Mumbai,2024-09-01,21:35,Burglary,Colaba,28.02322257,77.15910883,6.0,33,1,1,19:22,-1
267,Mumbai,2023-02-08,16:19,Fraud,Andheri,23.44520833,76.66687286,10.0,46,1,0,14:46,-1
268,Mumbai,2024-08-18,20:28,Burglary,Connaught Place,21.43651156,73.47137975,9.0,18,0,1,16:56,-1
271,Mumbai,2023-02-10,00:20,Harassment,Bandra,24.92159009,73.30347943,9.0,33,1,1,06:46,-1
272,Mumbai,2023-07-23,16:30,Theft,Colaba,25.21581171,72.39082343,3.0,27,1,0,03:31,-1
273,Mumbai,2023-05-22,15:10,Theft,Juhu,29.4357541,76.6813615,9.0,49,1,1,22:55,-1
274,Mumbai,2024-08-18,05:04,Fraud,Saket,28.92470185,76.53524491,4.0,50,0,1,09:43,-1
276,Mumbai,2024-06-23,09:06,Burglary,Connaught Place,27.81558492,72.02689016,8.0,44,1,0,21:51,-1
278,Mumbai,2024-04-04,20:43,Fraud,Colaba,20.08344106,76.22901719,4.0,52,1,1,23:06,-1
280,Mumbai,2023-04-07,05:12,Fraud,Saket,24.4456154,75.89874437,4.0,4,1,1,04:54,25
281,Mumbai,2024-05-24,03:48,Assault,Dadar,28.31187942,72.5046606,1.0,35,1,1,04:59,-1
282,Mumbai,2024-02-27,07:13,Assault,Dwarka,24.55682283,73.08795514,6.0,19,0,1,21:17,26
283,Mumbai,2023-05-08,09:32,Burglary,Colaba,27.22838213,74.85478089,4.0,31,1,1,00:10,27
285,Mumbai,2023-12-18,16:30,Burglary,Lajpat Nagar,21.77655194,72.87521476,3.0,40,1,1,06:25,28
290,Mumbai,2023-10-10,04:20,Theft,Colaba,22.84847864,74.37089465,3.0,33,0,1,08:45,-1
294,Mumbai,2023-07-16,05:39,Harassment,Saket,20.09925065,76.31561104,6.0,43,1,1,23:59,29
295,Mumbai,2023-10-21,21:10,Burglary,Colaba,27.85519463,72.75916148,5.0,9,1,1,12:21,-1
296,Mumbai,2023-03-05,10:33,Theft,Juhu,23.06877488,72.29304974,5.0,14,0,1,21:23,-1
297,Mumbai,2024-02-08,15:41,Theft,Saket,26.13387575,77.26764938,1.0,3,1,1,03:05,-1
300,Mumbai,2023-09-13,23:17,Burglary,Dadar,28.73142483,72.13279965,5.0,26,1,0,16:05,-1
304,Mumbai,2023-04-21,04:19,Theft,Bandra,29.36531032,77.32159438,1.0,38,1,1,04:34,-1
305,Mumbai,2023-05-22,10:46,Assault,Saket,27.30575025,74.46505906,9.0,21,1,1,22:38,-1
307,Mumbai,2023-09-03,23:20,Fraud,Lajpat Nagar,22.71481852,73.78111221,7.0,39,1,1,15:49,-1
308,Mumbai,2023-01-14,14:19,Harassment,Andheri,27.90641684,72.91444152,6.0,16,1,1,20:18,30
309,Mumbai,2024-12-20,13:36,Harassment,Bandra,26.6524543,72.82850194,9.0,40,1,1,21:40,-1
310,Mumbai,2024-05-02,12:48,Fraud,Karol Bagh,27.42362722,72.79370225,2.0,23,0,0,10:37,31
311,Mumbai,2023-05-23,13:00,Fraud,Colaba,23.85321212,72.68468854,7.0,29,1,1,11:10,32
313,Mumbai,2024-02-22,13:22,Burglary,Colaba,23.25143095,73.84001178,7.0,58,1,1,04:28,33
316,Mumbai,2023-11-05,08:01,Theft,Bandra,29.73615318,77.92557465,6.0,29,0,1,08:11,34
320,Mumbai,2024-08-04,09:53,Theft,Lajpat Nagar,24.9565691,73.09732591,1.0,52,1,1,06:58,9
321,Mumbai,2024-12-10,11:01,Theft,Dwarka,28.27770575,72.85898825,7.0,34,1,0,07:52,-1
323,Mumbai,2024-08-03,12:20,Assault,Lajpat Nagar,19.64126924,77.92086409,7.0,41,0,1,14:12,-1
324,Mumbai,2023-07-24,17:35,Theft,Karol Bagh,29.98263357,72.26945698,7.0,42,0,1,23:50,-1
325,Mumbai,2024-10-09,23:12,Assault,Saket,27.27642699,72.90207525,9.0,10,0,1,04:45,-1
326,Mumbai,2023-02-08,06:39,Fraud,Dwarka,28.50293648,74.54114455,6.0,42,1,0,14:33,-1
329,Mumbai,2023-08-17,02:15,Theft,Lajpat Nagar,20.23621272,72.7745781,7.0,11,1,1,23:37,-1
330,Mumbai,2024-05-06,05:20,Harassment,Juhu,22.82511619,74.73907054,5.0,11,1,1,05:05,-1
333,Mumbai,2024-07-11,15:02,Harassment,Lajpat Nagar,19.86066308,72.56587591,8.0,24,1,0,04:24,-1
335,Mumbai,2023-06-14,22:58,Fraud,Andheri,28.19034771,77.89954567,5.0,1,1,1,14:48,-1
336,Mumbai,2024-05-22,22:31,Assault,Bandra,20.7891744,73.97299828,1.0,12,0,1,05:04,-1
339,Mumbai,2024-06-04,12:03,Assault,Dadar,24.72090952,77.71235051,8.0,3,1,1,08:44,-1
340,Mumbai,2024-09-27,03:03,Assault,Colaba,28.13275212,76.74065707,5.0,52,0,1,16:24,-1
342,Mumbai,2024-07-02,08:34,Harassment,Andheri,21.13393352,77.13950667,6.0,50,1,1,12:50,-1
344,Mumbai,2024-11-15,09:07,Burglary,Juhu,24.5568042,74.77698394,10.0,16,1,1,15:04,-1
348,Mumbai,2023-12-06,23:26,Theft,Dadar,25.39503213,76.67780614,4.0,49,0,1,00:22,35
349,Mumbai,2024-09-01,04:55,Theft,Connaught Place,27.58864032,77.2492918,3.0,40,0,0,05:00,-1
351,Mumbai,2023-08-04,09:36,Fraud,Bandra,19.5507098,76.56301203,2.0,15,1,1,17:12,-1
354,Mumbai,2024-07-27,07:20,Burglary,Juhu,21.71357273,76.95023346,10.0,57,1,1,00:42,-1
355,Mumbai,2024-08-08,18:34,Burglary,Andheri,26.64850845,77.06330979,5.0,10,1,1,18:23,-1
357,Mumbai,2024-04-20,17:33,Burglary,Andheri,28.63945367,73.82747968,1.0,33,1,0,19:13,36
358,Mumbai,2023-02-09,09:44,Harassment,Dadar,22.27777774,72.21377877,8.0,17,1,1,07:29,-1
361,Mumbai,2024-10-19,22:45,Assault,Colaba,25.35882554,73.78885783,8.0,47,1,1,04:39,37
364,Mumbai,2024-08-11,14:47,Harassment,Bandra,28.64257931,77.01912117,1.0,55,0,0,23:19,-1
367,Mumbai,2024-01-11,07:29,Assault,Saket,24.08354521,74.19609233,5.0,51,0,0,05:43,-1
368,Mumbai,2024-12-26,11:21,Harassment,Karol Bagh,25.04058417,73.82442171,1.0,44,1,0,22:29,15
371,Mumbai,2023-09-19,08:38,Burglary,Connaught Place,21.58947974,72.52459618,1.0,30,0,1,20:53,-1
372,Mumbai,2024-02-28,23:59,Burglary,Connaught Place,26.99677858,75.78452999,1.0,46,1,0,22:01,-1
373,Mumbai,2024-02-17,00:08,Harassment,Bandra,23.15834168,75.02444968,5.0,52,1,1,16:09,-1
374,Mumbai,2024-01-24,03:41,Fraud,Juhu,19.08919017,75.16013615,8.0,55,1,1,13:34,-1
376,Mumbai,2023-02-16,12:51,Fraud,Saket,24.06622608,72.18969007,7.0,35,1,1,00:38,-1
377,Mumbai,2024-06-20,15:51,Assault,Juhu,24.37168404,76.64035335,5.0,26,1,1,01:30,38
379,Mumbai,2024-11-28,16:03,Harassment,Karol Bagh,26.55620158,72.22892164,2.0,12,1,1,00:35,-1
381,Mumbai,2024-09-02,00:36,Fraud,Bandra,25.15882412,72.37845105,2.0,52,1,1,15:05,39
382,Mumbai,2023-04-21,13:02,Assault,Bandra,22.3101098,76.73486371,10.0,17,1,1,05:48,-1
383,Mumbai,2024-04-24,16:55,Assault,Colaba,20.83847746,75.17737856,5.0,37,1,1,03:33,-1
386,Mumbai,2024-01-02,09:36,Burglary,Connaught Place,24.88281075,75.67601118,5.0,26,1,1,05:15,-1
393,Mumbai,2024-10-22,16:54,Fraud,Lajpat Nagar,24.14582653,75.67831216,2.0,30,1,1,10:51,-1
394,Mumbai,2023-08-19,02:36,Burglary,Andheri,19.77958871,75.76967675,7.0,48,1,0,19:58,-1
396,Mumbai,2024-08-09,20:12,Fraud,Juhu,21.90844728,75.72524513,7.0,42,0,0,23:29,-1
397,Mumbai,2023-08-10,02:49,Assault,Saket,24.80386903,77.81545278,5.0,24,0,1,11:07,40
398,Mumbai,2023-02-15,21:27,Burglary,Lajpat Nagar,24.6920711,73.18372985,9.0,46,1,1,14:23,-1
399,Mumbai,2024-10-10,08:29,Fraud,Lajpat Nagar,29.16789781,77.70654408,2.0,52,1,1,14:50,-1
401,Mumbai,2024-05-07,23:09,Burglary,Connaught Place,25.41298328,76.03173684,5.0,34,0,1,06:10,-1
402,Mumbai,2024-08-04,20:21,Assault,Bandra,23.41818438,72.59676958,8.0,19,1,1,06:00,-1
405,Mumbai,2024-01-27,10:29,Assault,Karol Bagh,22.13945819,76.24146609,5.0,11,1,0,13:55,-1
406,Mumbai,2024-05-01,16:49,Burglary,Bandra,28.28630544,72.24083633,3.0,13,0,1,00:56,-1
407,Mumbai,2023-10-24,22:47,Assault,Juhu,23.75635996,75.27956558,4.0,50,1,1,19:18,-1
408,Mumbai,2024-05-25,13:56,Harassment,Dadar,28.11533858,72.52966916,1.0,18,1,0,02:29,-1
409,Mumbai,2023-10-26,00:25,Fraud,Colaba,28.05176875,77.97513858,3.0,19,0,1,10:00,-1
410,Mumbai,2024-04-21,18:18,Harassment,Andheri,21.07757205,77.38377953,8.0,44,0,1,05:50,41
412,Mumbai,2023-11-04,12:01,Fraud,Saket,22.19707266,77.15189747,2.0,56,1,0,03:14,-1
413,Mumbai,2023-05-26,00:14,Harassment,Saket,22.27241937,77.5165776,9.0,38,0,1,00:03,42
418,Mumbai,2023-09-12,10:34,Burglary,Dadar,26.86760539,74.04190443,8.0,35,0,1,16:44,43
419,Mumbai,2024-03-09,14:41,Theft,Colaba,20.88303218,73.93535542,6.0,36,1,1,15:20,-1
420,Mumbai,2024-05-24,21:12,Harassment,Saket,20.14930635,74.54660333,7.0,38,1,1,10:43,-1
421,Mumbai,2024-02-15,18:59,Assault,Karol Bagh,21.61267733,72.87340655,4.0,39,1,1,17:21,-1
422,Mumbai,2023-03-25,11:57,Harassment,Andheri,23.17890575,76.98683379,2.0,55,1,1,00:37,44
423,Mumbai,2023-11-24,22:55,Theft,Dadar,24.2349696,74.09218737,1.0,25,0,1,10:36,-1
425,Mumbai,2023-07-01,06:49,Fraud,Bandra,29.67630666,77.36432768,9.0,13,1,0,10:02,-1
428,Mumbai,2024-10-13,03:01,Burglary,Connaught Place,22.50566983,77.73898875,2.0,11,1,1,07:25,45
430,Mumbai,2023-08-01,01:49,Fraud,Karol Bagh,25.88869305,73.01680025,3.0,8,1,1,09:43,-1
432,Mumbai,2023-11-27,11:04,Harassment,Dwarka,21.07822795,77.82777736,7.0,34,1,1,14:11,46
434,Mumbai,2024-02-05,10:59,Harassment,Bandra,21.81880416,74.22943865,8.0,52,0,1,10:06,-1
435,Mumbai,2023-01-10,07:42,Assault,Colaba,23.18214498,73.17018139,9.0,9,1,1,17:58,-1
436,Mumbai,2024-02-04,06:12,Theft,Colaba,28.58399036,72.68593868,6.0,36,1,1,03:18,-1
437,Mumbai,2023-09-05,09:10,Assault,Dwarka,26.29462612,76.44182874,10.0,49,0,1,22:08,47
438,Mumbai,2024-08-12,13:17,Fraud,Bandra,22.75883067,76.62018281,8.0,39,1,1,01:19,-1
442,Mumbai,2024-05-02,04:56,Fraud,Saket,24.35717645,72.24069947,2.0,59,1,1,01:43,22
444,Mumbai,2024-04-28,12:01,Assault,Karol Bagh,29.50101417,74.04270417,6.0,21,1,0,12:09,48
445,Mumbai,2024-02-22,14:55,Burglary,Connaught Place,29.18367404,73.87182925,5.0,20,0,1,03:31,-1
448,Mumbai,2024-04-04,12:03,Theft,Colaba,22.96156326,73.28922704,1.0,35,0,1,09:38,49
450,Mumbai,2023-11-21,12:12,Assault,Karol Bagh,26.58885604,77.96016513,3.0,28,0,1,18:57,-1
451,Mumbai,2023-01-26,06:49,Fraud,Bandra,28.72397555,72.52007137,1.0,7,0,0,09:06,50
452,Mumbai,2024-04-05,12:37,Burglary,Saket,21.27684933,77.17350977,8.0,43,0,1,13:50,-1
453,Mumbai,2023-02-27,03:05,Burglary,Connaught Place,29.10012474,74.34309419,3.0,56,0,1,22:48,-1
454,Mumbai,2023-10-07,05:32,Assault,Dwarka,27.96698255,75.14443468,10.0,44,0,1,12:28,-1
457,Mumbai,2024-03-05,05:48,Theft,Dwarka,22.07931063,73.57298346,4.0,36,1,1,21:35,-1
458,Mumbai,2024-03-04,06:07,Theft,Bandra,20.16551502,73.27710463,4.0,34,1,0,21:56,-1
