Crime_ID,City,Date,Time,Crime_Type,Location,Latitude,Longitude,Crime_Severity,Police_Response_Time_Minutes,Resolved,Suspect_Arrested,Ride_Time
43,Mumbai,2023-02-05,06:07,Fraud,Juhu,24.54818775,76.53272286,10,41,1,1,15:05
44,Mumbai,2023-11-14,18:18,Burglary,Dadar,24.10764919,77.28174758,7,29,1,1,16:26
45,Mumbai,2023-07-13,05:55,Theft,Karol Bagh,21.78737918,77.78487478,6,6,1,0,08:17
46,Mumbai,2024-09-09,05:49,Theft,Dwarka,24.55530851,73.94731144,7,51,1,1,04:27
47,Mumbai,2023-11-24,23:25,Burglary,Lajpat Nagar,19.33546203,76.79222744,5,23,1,0,04:49
49,Mumbai,2024-11-11,11:48,Assault,Lajpat Nagar,28.75248556,75.27344608,6,45,1,1,15:03
50,Mumbai,2023-05-14,06:26,Theft,Connaught Place,27.26847744,73.07908889,4,21,0,1,22:16
52,Mumbai,2024-09-25,10:49,Burglary,Juhu,24.68865399,77.5881502,2,8,1,1,13:30
54,Mumbai,2024-11-17,03:42,Harassment,Andheri,27.14857854,75.79440537,4,9,1,1,00:07
56,Mumbai,2023-09-25,20:20,Burglary,Karol Bagh,27.39613709,72.72443012,7,4,1,1,14:49
57,Mumbai,2023-10-11,16:34,Fraud,Connaught Place,26.94872897,73.95587426,7,13,0,1,00:14
66,Mumbai,2024-04-18,10:48,Assault,Karol Bagh,29.77905876,73.68960366,3,46,1,1,12:42
67,Mumbai,2023-12-10,14:41,Assault,Andheri,21.48469554,72.11927945,10,57,1,0,13:49
69,Mumbai,2024-08-17,03:24,Burglary,Connaught Place,23.76270355,77.73960341,10,15,1,1,19:55
70,Mumbai,2024-02-08,18:41,Assault,Lajpat Nagar,19.78127024,74.34766113,5,8,1,0,15:42
71,Mumbai,2023-02-11,13:26,Assault,Connaught Place,24.36664267,74.52080733,4,48,1,0,08:38
72,Mumbai,2023-10-18,13:12,Assault,Colaba,26.72380762,77.8134103,6,35,1,1,21:03
74,Mumbai,2023-02-23,19:14,Burglary,Dadar,28.5931667,76.31503154,4,52,1,1,01:16
76,Mumbai,2023-06-03,19:32,Harassment,Andheri,19.94874088,77.84765527,1,55,0,1,03:51
77,Mumbai,2023-05-22,02:38,Harassment,Karol Bagh,29.30222173,76.13319891,3,37,0,0,14:28
78,Mumbai,2024-04-18,18:46,Fraud,Dwarka,23.16015984,77.37019651,1,4,1,1,19:38
80,Mumbai,2024-04-26,10:39,Theft,Connaught Place,27.71203439,76.41069495,9,12,1,1,18:36
82,Mumbai,2023-02-22,18:40,Theft,Colaba,26.87780992,73.82087219,5,15,1,1,12:53
84,Mumbai,2024-08-28,02:23,Fraud,Juhu,22.20423122,73.78023774,4,30,1,1,09:29
87,Mumbai,2024-02-08,20:24,Fraud,Andheri,21.44914159,76.90190028,4,12,1,0,03:59
89,Mumbai,2024-03-14,06:54,Theft,Andheri,29.37628237,76.97667984,6,34,0,1,01:05
90,Mumbai,2023-05-15,05:29,Theft,Connaught Place,24.8054943,75.6163788,9,7,0,0,16:27
91,Mumbai,2023-02-15,11:46,Theft,Karol Bagh,24.94032111,73.12145721,4,28,1,1,09:15
92,Mumbai,2023-01-21,07:11,Assault,Bandra,24.07136925,75.25221231,6,55,1,1,04:15
93,Mumbai,2023-02-25,15:59,Assault,Lajpat Nagar,22.58479158,73.69499302,4,28,1,1,02:52
94,Mumbai,2023-03-14,22:58,Burglary,Karol Bagh,24.23220534,73.94080401,2,29,1,1,08:59
95,Mumbai,2024-08-07,06:20,Burglary,Karol Bagh,25.63088285,74.10916825,6,37,1,1,11:44
96,Mumbai,2024-01-06,04:18,Burglary,Andheri,29.84590729,72.37991548,7,20,0,1,12:52
97,Mumbai,2024-01-13,02:57,Assault,Karol Bagh,29.31541015,77.91577011,4,11,1,0,11:06
98,Mumbai,2024-08-10,00:13,Assault,Saket,28.48368254,72.18920777,7,50,1,1,16:50
99,Mumbai,2024-12-24,18:29,Burglary,Dadar,28.78043589,75.97498124,8,50,0,1,03:10
102,Mumbai,2023-12-11,14:15,Burglary,Bandra,28.84573395,74.13748952,5,23,1,1,15:03
103,Mumbai,2023-01-19,05:29,Fraud,Andheri,23.32245841,76.04250388,2,52,0,0,00:15
104,Mumbai,2024-09-28,16:41,Harassment,Lajpat Nagar,29.57938726,76.37541306,,46,1,1,08:15
105,Mumbai,2023-01-17,03:51,Assault,Karol Bagh,23.57364668,76.14331584,5,20,0,1,14:17
106,Mumbai,2023-03-03,19:53,Burglary,Bandra,25.61190932,72.68377189,10,20,0,0,06:46
107,Mumbai,2023-11-28,10:55,Assault,Andheri,26.80785185,75.94135941,6,11,1,1,04:22
108,Mumbai,2023-07-04,05:15,Assault,Juhu,29.45651214,73.6799253,8,2,0,0,12:51
109,Mumbai,2023-10-20,14:46,Assault,Bandra,21.69077901,72.17280822,6,13,1,1,21:30
111,Mumbai,2024-11-19,23:02,Theft,Colaba,24.72897145,74.60125862,3,41,0,1,22:21
113,Mumbai,2024-04-09,13:55,Theft,Dadar,27.54267524,76.22894499,1,15,1,1,04:20
114,Mumbai,2024-03-22,16:30,Theft,Colaba,25.07444508,73.85306285,2,56,1,1,02:56
116,Mumbai,2023-01-15,13:16,Assault,Karol Bagh,22.55191175,72.36331354,5,31,1,0,04:13
118,Mumbai,2023-09-09,03:45,Assault,Connaught Place,25.79089676,75.40695655,1,23,0,1,10:16
119,Mumbai,2023-06-03,19:41,Assault,Lajpat Nagar,23.45401896,74.09655068,4,53,1,1,03:40
121,Mumbai,2023-08-27,00:28,Assault,Karol Bagh,29.57804542,75.2241465,7,54,1,1,18:53
123,Mumbai,2023-11-27,23:03,Fraud,Dadar,27.07312407,75.06794726,3,57,1,1,04:01
126,Mumbai,2023-12-18,23:49,Fraud,Dadar,23.47880728,73.73374691,,20,1,1,07:47
127,Mumbai,2023-05-10,01:23,Burglary,Juhu,23.50116308,72.84446018,2,28,0,1,12:41
129,Mumbai,2023-11-21,16:40,Theft,Dwarka,24.97816857,75.83634532,,44,1,1,01:50
130,Mumbai,2024-09-16,20:28,Theft,Dwarka,24.46869197,77.23723971,9,29,1,1,01:23
131,Mumbai,2024-01-03,13:50,Harassment,Karol Bagh,20.48264363,74.45697767,3,5,0,1,04:11
141,Mumbai,2023-05-12,15:13,Fraud,Lajpat Nagar,27.46086856,76.27562811,7,51,1,0,04:20
143,Mumbai,2023-11-04,10:41,Theft,Dwarka,29.56013069,74.97818623,4,45,1,1,03:53
144,Mumbai,2024-09-28,22:04,Burglary,Connaught Place,28.02507419,74.83624139,10,54,1,1,13:06
145,Mumbai,2024-10-24,14:57,Harassment,Andheri,28.39343309,73.86422114,4,20,1,1,21:20
150,Mumbai,2023-05-06,14:21,Fraud,Bandra,28.40948978,72.18253389,2,35,0,1,23:09
156,Mumbai,2024-06-09,16:18,Fraud,Juhu,27.77737508,75.51818485,1,55,1,1,10:34
158,Mumbai,2024-11-27,11:36,Harassment,Saket,19.06347727,73.54722002,8,8,1,1,16:08
160,Mumbai,2024-03-19,09:19,Fraud,Karol Bagh,23.4867342,73.89112374,9,29,0,1,19:23
163,Mumbai,2024-07-20,09:30,Harassment,Karol Bagh,26.72306907,75.37138862,3,47,0,1,19:37
164,Mumbai,2023-07-19,22:28,Theft,Connaught Place,26.92982541,74.60028509,8,47,1,1,21:19
165,Mumbai,2023-05-02,21:18,Burglary,Saket,27.0131804,74.75349915,9,59,1,0,01:11
167,Mumbai,2023-06-14,22:08,Theft,Bandra,29.49312884,73.77692681,2,7,1,1,06:22
170,Mumbai,2023-12-10,12:16,Harassment,Colaba,19.17207625,72.36687709,10,28,1,1,11:32
171,Mumbai,2024-11-14,20:14,Harassment,Dadar,29.27244675,74.93598499,7,12,1,1,01:44
174,Mumbai,2023-07-22,09:09,Assault,Dadar,20.02616123,72.41755108,5,29,1,1,20:21
175,Mumbai,2024-11-24,18:00,Theft,Saket,27.12655832,72.92178912,4,11,0,0,20:10
176,Mumbai,2023-10-19,08:23,Fraud,Saket,29.55908359,76.58640067,8,53,0,1,16:33
183,Mumbai,2023-05-17,18:54,Theft,Juhu,29.26130843,76.87957381,5,33,1,1,02:37
187,Mumbai,2023-01-08,15:41,Assault,Colaba,27.71097192,77.55604451,5,43,1,1,06:23
190,Mumbai,2023-12-23,05:30,Burglary,Dwarka,29.36190592,77.75245978,1,53,1,1,04:22
196,Mumbai,2023-02-15,08:38,Burglary,Dadar,29.01874424,72.93904739,10,37,1,1,08:36
197,Mumbai,2023-08-22,23:50,Fraud,Dadar,28.31209755,73.49935917,6,41,1,0,12:16
198,Mumbai,2024-08-20,03:41,Fraud,Andheri,20.40249699,74.93111012,5,33,1,1,18:15
202,Mumbai,2023-11-09,20:58,Burglary,Karol Bagh,21.93015406,75.10910965,2,18,1,0,13:00
205,Mumbai,2024-04-09,16:57,Burglary,Colaba,23.42872582,75.10644394,4,41,1,0,16:59
207,Mumbai,2023-03-05,06:23,Burglary,Colaba,23.22343784,72.01034893,5,2,1,1,09:34
208,Mumbai,2023-07-23,21:02,Fraud,Juhu,27.10498515,72.58599791,,19,1,1,13:08
209,Mumbai,2023-12-07,12:40,Burglary,Dadar,24.23536439,72.60933962,6,10,1,1,23:42
217,Mumbai,2024-09-24,18:33,Theft,Saket,24.45841427,75.05866107,8,51,0,1,09:41
219,Mumbai,2024-07-16,08:51,Assault,Bandra,22.68208859,76.83725793,10,47,1,0,18:06
223,Mumbai,2023-07-19,07:14,Assault,Andheri,24.41774039,76.55204331,8,10,1,1,14:10
224,Mumbai,2023-02-21,22:45,Fraud,Saket,29.06374765,72.58547502,6,56,1,1,11:16
225,Mumbai,2024-03-28,14:11,Fraud,Andheri,24.3811617,72.24146862,9,46,1,1,11:46
226,Mumbai,2024-03-02,01:38,Assault,Colaba,23.95291713,76.51941849,2,51,0,0,06:38
228,Mumbai,2023-08-11,08:05,Burglary,Lajpat Nagar,22.38420596,77.97329559,10,50,0,1,02:48
231,Mumbai,2023-08-01,02:57,Theft,Connaught Place,21.73389318,74.87989839,9,12,1,1,19:54
232,Mumbai,2023-06-08,04:33,Harassment,Dwarka,22.3457078,76.96290117,4,40,0,1,07:09
233,Mumbai,2023-11-02,09:03,Theft,Dwarka,27.47895974,76.90276369,5,48,0,0,20:47
234,Mumbai,2023-04-07,06:14,Burglary,Bandra,22.59943301,77.49595201,2,57,1,1,08:29
235,Mumbai,2023-10-05,07:37,Burglary,Juhu,21.66415481,73.78710007,3,56,1,0,00:28
236,Mumbai,2023-03-16,18:30,Fraud,Dadar,20.85963524,77.69879612,1,8,1,1,18:09
237,Mumbai,2023-10-07,14:06,Harassment,Juhu,27.52344242,72.91000176,4,24,1,1,12:08
238,Mumbai,2024-12-09,17:56,Theft,Dwarka,20.42676884,72.49181267,2,14,1,1,11:42
240,Mumbai,2023-03-10,20:04,Assault,Dwarka,24.57623128,76.96993781,1,50,0,1,15:18
241,Mumbai,2023-10-01,06:30,Burglary,Saket,26.56128904,74.84052678,10,56,0,1,06:07
243,Mumbai,2024-07-23,02:30,Theft,Karol Bagh,27.9179274,76.37812083,4,54,1,1,01:13
246,Mumbai,2024-11-20,06:38,Theft,Dwarka,22.08147531,72.36468701,7,45,1,1,07:47
251,Mumbai,2024-01-28,14:49,Fraud,Andheri,26.30074927,73.03100734,1,58,1,1,16:59
253,Mumbai,2024-06-21,18:51,Harassment,Lajpat Nagar,26.91417254,73.15760662,10,20,0,1,08:09
258,Mumbai,2024-06-28,08:31,Theft,Karol Bagh,19.87768036,75.4138202,5,33,1,1,02:50
259,Mumbai,2023-02-09,20:11,Theft,Colaba,23.59766498,77.35923953,5,5,1,1,15:37
262,Mumbai,2024-06-01,09:41,Theft,Dwarka,19.96939226,76.00564338,8,26,0,1,08:21
266,Mumbai,2024-09-01,21:35,Burglary,Colaba,28.02322257,77.15910883,6,33,1,1,19:22
267,Mumbai,2023-02-08,16:19,Fraud,Andheri,23.44520833,76.66687286,10,46,1,0,14:46
268,Mumbai,2024-08-18,20:28,Burglary,Connaught Place,21.43651156,73.47137975,9,18,0,1,16:56
271,Mumbai,2023-02-10,00:20,Harassment,Bandra,24.92159009,73.30347943,9,33,1,1,06:46
272,Mumbai,2023-07-23,16:30,Theft,Colaba,25.21581171,72.39082343,3,27,1,0,03:31
273,Mumbai,2023-05-22,15:10,Theft,Juhu,29.4357541,76.6813615,9,49,1,1,22:55
274,Mumbai,2024-08-18,05:04,Fraud,Saket,28.92470185,76.53524491,4,50,0,1,09:43
276,Mumbai,2024-06-23,09:06,Burglary,Connaught Place,27.81558492,72.02689016,8,44,1,0,21:51
278,Mumbai,2024-04-04,20:43,Fraud,Colaba,20.08344106,76.22901719,4,52,1,1,23:06
280,Mumbai,2023-04-07,05:12,Fraud,Saket,24.4456154,75.89874437,4,4,1,1,04:54
281,Mumbai,2024-05-24,03:48,Assault,Dadar,28.31187942,72.5046606,1,35,1,1,04:59
282,Mumbai,2024-02-27,07:13,Assault,Dwarka,24.55682283,73.08795514,6,19,0,1,21:17
283,Mumbai,2023-05-08,09:32,Burglary,Colaba,27.22838213,74.85478089,4,31,1,1,00:10
285,Mumbai,2023-12-18,16:30,Burglary,Lajpat Nagar,21.77655194,72.87521476,3,40,1,1,06:25
290,Mumbai,2023-10-10,04:20,Theft,Colaba,22.84847864,74.37089465,3,33,0,1,08:45
294,Mumbai,2023-07-16,05:39,Harassment,Saket,20.09925065,76.31561104,6,43,1,1,23:59
295,Mumbai,2023-10-21,21:10,Burglary,Colaba,27.85519463,72.75916148,5,9,1,1,12:21
296,Mumbai,2023-03-05,10:33,Theft,Juhu,23.06877488,72.29304974,5,14,0,1,21:23
297,Mumbai,2024-02-08,15:41,Theft,Saket,26.13387575,77.26764938,1,3,1,1,03:05
300,Mumbai,2023-09-13,23:17,Burglary,Dadar,28.73142483,72.13279965,,26,1,0,16:05
304,Mumbai,2023-04-21,04:19,Theft,Bandra,29.36531032,77.32159438,1,38,1,1,04:34
305,Mumbai,2023-05-22,10:46,Assault,Saket,27.30575025,74.46505906,9,21,1,1,22:38
307,Mumbai,2023-09-03,23:20,Fraud,Lajpat Nagar,22.71481852,73.78111221,7,39,1,1,15:49
308,Mumbai,2023-01-14,14:19,Harassment,Andheri,27.90641684,72.91444152,6,16,1,1,20:18
309,Mumbai,2024-12-20,13:36,Harassment,Bandra,26.6524543,72.82850194,9,40,1,1,21:40
310,Mumbai,2024-05-02,12:48,Fraud,Karol Bagh,27.42362722,72.79370225,2,23,0,0,10:37
311,Mumbai,2023-05-23,13:00,Fraud,Colaba,23.85321212,72.68468854,7,29,1,1,11:10
313,Mumbai,2024-02-22,13:22,Burglary,Colaba,23.25143095,73.84001178,7,58,1,1,04:28
316,Mumbai,2023-11-05,08:01,Theft,Bandra,29.73615318,77.92557465,,29,0,1,08:11
320,Mumbai,2024-08-04,09:53,Theft,Lajpat Nagar,24.9565691,73.09732591,1,52,1,1,06:58
321,Mumbai,2024-12-10,11:01,Theft,Dwarka,28.27770575,72.85898825,7,34,1,0,07:52
323,Mumbai,2024-08-03,12:20,Assault,Lajpat Nagar,19.64126924,77.92086409,7,41,0,1,14:12
324,Mumbai,2023-07-24,17:35,Theft,Karol Bagh,29.98263357,72.26945698,7,42,0,1,23:50
325,Mumbai,2024-10-09,23:12,Assault,Saket,27.27642699,72.90207525,9,10,0,1,04:45
326,Mumbai,2023-02-08,06:39,Fraud,Dwarka,28.50293648,74.54114455,6,42,1,0,14:33
329,Mumbai,2023-08-17,02:15,Theft,Lajpat Nagar,20.23621272,72.7745781,7,11,1,1,23:37
330,Mumbai,2024-05-06,05:20,Harassment,Juhu,22.82511619,74.73907054,,11,1,1,05:05
333,Mumbai,2024-07-11,15:02,Harassment,Lajpat Nagar,19.86066308,72.56587591,8,24,1,0,04:24
335,Mumbai,2023-06-14,22:58,Fraud,Andheri,28.19034771,77.89954567,5,1,1,1,14:48
336,Mumbai,2024-05-22,22:31,Assault,Bandra,20.7891744,73.97299828,1,12,0,1,05:04
339,Mumbai,2024-06-04,12:03,Assault,Dadar,24.72090952,77.71235051,8,3,1,1,08:44
340,Mumbai,2024-09-27,03:03,Assault,Colaba,28.13275212,76.74065707,5,52,0,1,16:24
342,Mumbai,2024-07-02,08:34,Harassment,Andheri,21.13393352,77.13950667,6,50,1,1,12:50
344,Mumbai,2024-11-15,09:07,Burglary,Juhu,24.5568042,74.77698394,10,16,1,1,15:04
348,Mumbai,2023-12-06,23:26,Theft,Dadar,25.39503213,76.67780614,4,49,0,1,00:22
349,Mumbai,2024-09-01,04:55,Theft,Connaught Place,27.58864032,77.2492918,3,40,0,0,05:00
351,Mumbai,2023-08-04,09:36,Fraud,Bandra,19.5507098,76.56301203,2,15,1,1,17:12
354,Mumbai,2024-07-27,07:20,Burglary,Juhu,21.71357273,76.95023346,10,57,1,1,00:42
355,Mumbai,2024-08-08,18:34,Burglary,Andheri,26.64850845,77.06330979,5,10,1,1,18:23
357,Mumbai,2024-04-20,17:33,Burglary,Andheri,28.63945367,73.82747968,1,33,1,0,19:13
358,Mumbai,2023-02-09,09:44,Harassment,Dadar,22.27777774,72.21377877,8,17,1,1,07:29
361,Mumbai,2024-10-19,22:45,Assault,Colaba,25.35882554,73.78885783,8,47,1,1,04:39
364,Mumbai,2024-08-11,14:47,Harassment,Bandra,28.64257931,77.01912117,1,55,0,0,23:19
367,Mumbai,2024-01-11,07:29,Assault,Saket,24.08354521,74.19609233,5,51,0,0,05:43
368,Mumbai,2024-12-26,11:21,Harassment,Karol Bagh,25.04058417,73.82442171,1,44,1,0,22:29
371,Mumbai,2023-09-19,08:38,Burglary,Connaught Place,21.58947974,72.52459618,1,30,0,1,20:53
372,Mumbai,2024-02-28,23:59,Burglary,Connaught Place,26.99677858,75.78452999,1,46,1,0,22:01
373,Mumbai,2024-02-17,00:08,Harassment,Bandra,23.15834168,75.02444968,,52,1,1,16:09
374,Mumbai,2024-01-24,03:41,Fraud,Juhu,19.08919017,75.16013615,8,55,1,1,13:34
376,Mumbai,2023-02-16,12:51,Fraud,Saket,24.06622608,72.18969007,7,35,1,1,00:38
377,Mumbai,2024-06-20,15:51,Assault,Juhu,24.37168404,76.64035335,5,26,1,1,01:30
379,Mumbai,2024-11-28,16:03,Harassment,Karol Bagh,26.55620158,72.22892164,2,12,1,1,00:35
381,Mumbai,2024-09-02,00:36,Fraud,Bandra,25.15882412,72.37845105,2,52,1,1,15:05
382,Mumbai,2023-04-21,13:02,Assault,Bandra,22.3101098,76.73486371,10,17,1,1,05:48
383,Mumbai,2024-04-24,16:55,Assault,Colaba,20.83847746,75.17737856,5,37,1,1,03:33
386,Mumbai,2024-01-02,09:36,Burglary,Connaught Place,24.88281075,75.67601118,5,26,1,1,05:15
393,Mumbai,2024-10-22,16:54,Fraud,Lajpat Nagar,24.14582653,75.67831216,2,30,1,1,10:51
394,Mumbai,2023-08-19,02:36,Burglary,Andheri,19.77958871,75.76967675,7,48,1,0,19:58
396,Mumbai,2024-08-09,20:12,Fraud,Juhu,21.90844728,75.72524513,7,42,0,0,23:29
397,Mumbai,2023-08-10,02:49,Assault,Saket,24.80386903,77.81545278,5,24,0,1,11:07
398,Mumbai,2023-02-15,21:27,Burglary,Lajpat Nagar,24.6920711,73.18372985,9,46,1,1,14:23
399,Mumbai,2024-10-10,08:29,Fraud,Lajpat Nagar,29.16789781,77.70654408,2,52,1,1,14:50
401,Mumbai,2024-05-07,23:09,Burglary,Connaught Place,25.41298328,76.03173684,,34,0,1,06:10
402,Mumbai,2024-08-04,20:21,Assault,Bandra,23.41818438,72.59676958,8,19,1,1,06:00
405,Mumbai,2024-01-27,10:29,Assault,Karol Bagh,22.13945819,76.24146609,5,11,1,0,13:55
406,Mumbai,2024-05-01,16:49,Burglary,Bandra,28.28630544,72.24083633,3,13,0,1,00:56
407,Mumbai,2023-10-24,22:47,Assault,Juhu,23.75635996,75.27956558,4,50,1,1,19:18
408,Mumbai,2024-05-25,13:56,Harassment,Dadar,28.11533858,72.52966916,1,18,1,0,02:29
409,Mumbai,2023-10-26,00:25,Fraud,Colaba,28.05176875,77.97513858,3,19,0,1,10:00
410,Mumbai,2024-04-21,18:18,Harassment,Andheri,21.07757205,77.38377953,8,44,0,1,05:50
412,Mumbai,2023-11-04,12:01,Fraud,Saket,22.19707266,77.15189747,2,56,1,0,03:14
413,Mumbai,2023-05-26,00:14,Harassment,Saket,22.27241937,77.5165776,9,38,0,1,00:03
418,Mumbai,2023-09-12,10:34,Burglary,Dadar,26.86760539,74.04190443,8,35,0,1,16:44
419,Mumbai,2024-03-09,14:41,Theft,Colaba,20.88303218,73.93535542,6,36,1,1,15:20
420,Mumbai,2024-05-24,21:12,Harassment,Saket,20.14930635,74.54660333,7,38,1,1,10:43
421,Mumbai,2024-02-15,18:59,Assault,Karol Bagh,21.61267733,72.87340655,4,39,1,1,17:21
422,Mumbai,2023-03-25,11:57,Harassment,Andheri,23.17890575,76.98683379,2,55,1,1,00:37
423,Mumbai,2023-11-24,22:55,Theft,Dadar,24.2349696,74.09218737,1,25,0,1,10:36
425,Mumbai,2023-07-01,06:49,Fraud,Bandra,29.67630666,77.36432768,9,13,1,0,10:02
428,Mumbai,2024-10-13,03:01,Burglary,Connaught Place,22.50566983,77.73898875,2,11,1,1,07:25
430,Mumbai,2023-08-01,01:49,Fraud,Karol Bagh,25.88869305,73.01680025,3,8,1,1,09:43
432,Mumbai,2023-11-27,11:04,Harassment,Dwarka,21.07822795,77.82777736,7,34,1,1,14:11
434,Mumbai,2024-02-05,10:59,Harassment,Bandra,21.81880416,74.22943865,8,52,0,1,10:06
435,Mumbai,2023-01-10,07:42,Assault,Colaba,23.18214498,73.17018139,9,9,1,1,17:58
436,Mumbai,2024-02-04,06:12,Theft,Colaba,28.58399036,72.68593868,,36,1,1,03:18
437,Mumbai,2023-09-05,09:10,Assault,Dwarka,26.29462612,76.44182874,10,49,0,1,22:08
438,Mumbai,2024-08-12,13:17,Fraud,Bandra,22.75883067,76.62018281,8,39,1,1,01:19
442,Mumbai,2024-05-02,04:56,Fraud,Saket,24.35717645,72.24069947,2,59,1,1,01:43
444,Mumbai,2024-04-28,12:01,Assault,Karol Bagh,29.50101417,74.04270417,,21,1,0,12:09
445,Mumbai,2024-02-22,14:55,Burglary,Connaught Place,29.18367404,73.87182925,,20,0,1,03:31
448,Mumbai,2024-04-04,12:03,Theft,Colaba,22.96156326,73.28922704,1,35,0,1,09:38
450,Mumbai,2023-11-21,12:12,Assault,Karol Bagh,26.58885604,77.96016513,3,28,0,1,18:57
451,Mumbai,2023-01-26,06:49,Fraud,Bandra,28.72397555,72.52007137,1,7,0,0,09:06
452,Mumbai,2024-04-05,12:37,Burglary,Saket,21.27684933,77.17350977,8,43,0,1,13:50
453,Mumbai,2023-02-27,03:05,Burglary,Connaught Place,29.10012474,74.34309419,3,56,0,1,22:48
454,Mumbai,2023-10-07,05:32,Assault,Dwarka,27.96698255,75.14443468,10,44,0,1,12:28
457,Mumbai,2024-03-05,05:48,Theft,Dwarka,22.07931063,73.57298346,4,36,1,1,21:35
458,Mumbai,2024-03-04,06:07,Theft,Bandra,20.16551502,73.27710463,4,34,1,0,21:56
461,Mumbai,2024-01-06,23:20,Theft,Dwarka,25.75602096,72.08162637,6,53,1,1,23:53
463,Mumbai,2024-09-04,06:05,Assault,Saket,28.89175338,72.4403041,,2,1,0,11:34
465,Mumbai,2024-09-19,15:16,Theft,Connaught Place,19.06194444,72.23959314,5,25,1,1,08:39
467,Mumbai,2023-10-02,14:01,Burglary,Connaught Place,20.09698824,73.25843396,2,51,1,1,02:03
470,Mumbai,2024-07-22,03:22,Harassment,Juhu,19.47736896,76.47759637,5,45,1,1,20:09
472,Mumbai,2024-02-03,02:27,Harassment,Colaba,20.97097642,72.43139651,10,26,1,1,02:32
474,Mumbai,2023-03-09,07:44,Assault,Dwarka,24.10699606,74.3442153,9,18,1,1,07:41
476,Mumbai,2024-08-17,20:51,Harassment,Karol Bagh,23.70460967,74.67176863,6,29,0,1,17:39
478,Mumbai,2023-11-21,15:01,Burglary,Dwarka,21.36208638,74.70723245,10,24,1,1,14:30
480,Mumbai,2023-07-11,20:57,Fraud,Juhu,27.09619105,77.41332172,10,28,0,1,05:17
481,Mumbai,2024-07-14,10:02,Fraud,Dadar,25.12528854,72.29860318,3,12,1,1,18:13
482,Mumbai,2023-06-14,04:54,Burglary,Karol Bagh,29.21922974,75.14466925,8,57,1,0,03:27
484,Mumbai,2024-03-22,18:00,Burglary,Andheri,24.10043386,74.81045727,1,27,1,1,11:43
486,Mumbai,2023-02-14,04:08,Burglary,Juhu,25.69899022,74.1695416,9,33,0,1,16:09
488,Mumbai,2024-03-18,01:03,Fraud,Andheri,20.76339943,75.78365083,1,28,1,1,14:34
491,Mumbai,2024-06-28,23:42,Burglary,Andheri,19.83458805,72.620611,,38,0,0,09:02
494,Mumbai,2024-02-19,05:26,Burglary,Andheri,21.07919011,73.02064129,8,42,0,0,12:22
498,Mumbai,2024-02-25,21:11,Theft,Dwarka,23.35037984,74.6023673,4,57,1,0,12:50
500,Mumbai,2024-09-25,03:50,Harassment,Andheri,25.71433253,77.65146327,7,6,1,1,13:57
504,Mumbai,2024-06-12,20:23,Fraud,Dadar,24.06753471,74.08643869,9,13,1,0,07:42
507,Mumbai,2024-02-05,00:21,Harassment,Andheri,29.87763283,76.95815526,10,6,1,0,10:49
509,Mumbai,2023-07-14,15:02,Theft,Andheri,19.86101929,75.14216599,3,41,1,1,04:23
