Hotspot_ID,Center_Latitude,Center_Longitude,Crime_Count,Average_Crime_Severity,Maximum_Crime_Severity,Crime_Types,Crime_Score,Risk_Level
69,21.19459405,75.27924339500001,2,8.5,10.0,"Assault, Theft",89.58,Extreme
70,19.26920491,72.13167644,2,3.0,5.0,Assault,30.56,Low
71,22.442840345,76.31390311999999,2,4.0,6.0,"Assault, Theft",41.67,Moderate
72,23.951693470000002,73.007944355,2,7.5,10.0,Harassment,82.64,Extreme
73,23.71157886,73.15510569,2,5.5,6.0,"Fraud, Harassment",52.08,Moderate
74,21.559410749999998,72.790094895,2,4.5,6.0,"Assault, Theft",45.14,Moderate
75,26.883678525,75.23491096500001,2,5.0,6.0,Theft,48.61,Moderate
76,23.96231827,74.84290757,2,3.5,5.0,"Burglary, Theft",34.03,Low
77,22.88756216,73.58661776000001,3,5.333333333333333,8.0,"Burglary, Fraud",60.39,High
78,27.103836819999998,73.50228713999999,2,2.5,3.0,Assault,18.75,Safe
79,20.539600775,77.811253345,2,2.5,4.0,"Burglary, Harassment",22.92,Low
80,19.097073870000003,77.366474055,2,7.0,8.0,"Assault, Fraud",70.83,High
81,21.154978933333336,76.31377565666666,3,3.3333333333333335,7.0,"Assault, Theft",42.33,Moderate
82,27.371011335,77.90525471999999,2,2.5,3.0,Fraud,18.75,Safe
83,20.92490745,74.81760278499999,2,9.0,10.0,"Assault, Burglary",93.06,Extreme
84,24.910541164999998,73.59943634999999,2,5.5,10.0,Harassment,68.75,High
85,21.80278119,74.73394771,2,6.0,6.0,"Assault, Harassment",55.56,Moderate
86,29.216892455,76.373740795,2,3.5,5.0,"Assault, Fraud",34.03,Low
87,27.633115175,77.81132635,2,6.5,9.0,"Fraud, Harassment",71.53,High
88,27.68014011,75.30622211999999,3,5.0,8.0,"Burglary, Fraud, Theft",58.07,Moderate
89,26.812136085,75.472638915,2,2.5,3.0,"Assault, Theft",18.75,Safe
90,23.031852975,77.92457676000001,2,3.0,4.0,"Fraud, Theft",26.39,Low
91,19.601232605,74.50619633,2,5.5,7.0,"Assault, Theft",56.25,Moderate
92,28.799376775,74.645238955,2,4.0,5.0,"Burglary, Fraud",37.5,Low
93,19.34398813,72.41330829500001,2,6.0,6.0,"Fraud, Theft",55.56,Moderate
94,20.19082216,77.652750775,2,5.5,10.0,"Assault, Fraud",68.75,High
95,24.20238336,76.632377405,2,8.5,9.0,"Harassment, Theft",85.42,Extreme
96,19.572232720000002,73.21470894500001,2,2.5,4.0,"Assault, Burglary",22.92,Low
97,19.683444185,72.98398586,2,6.5,8.0,"Fraud, Theft",67.36,High
98,23.946362575000002,77.61609153,2,8.0,9.0,Theft,81.94,Extreme
99,29.40467158,72.317583235,2,6.5,9.0,"Assault, Harassment",71.53,High
100,23.38232987,76.09460028000001,2,4.0,7.0,Fraud,45.83,Moderate
101,21.37379248,73.500296955,2,5.0,6.0,"Harassment, Theft",48.61,Moderate
102,20.944058415,75.375347165,2,6.0,8.0,"Fraud, Harassment",63.89,High
103,26.072983909999998,75.387662615,2,5.0,7.0,Theft,52.78,Moderate
104,27.404332134999997,75.01759188,2,6.0,8.0,"Burglary, Theft",63.89,High
105,28.75640645,72.41642258499999,2,3.5,4.0,"Harassment, Theft",29.86,Low
106,27.018273395,73.0308622,2,6.5,10.0,"Assault, Theft",75.69,High
107,26.19064543,74.9367481,2,4.5,7.0,"Assault, Burglary",49.31,Moderate
108,22.207631790000004,74.82918400666667,3,7.666666666666667,10.0,"Assault, Fraud",84.92,Extreme
109,25.174935429999998,77.219595115,2,7.0,8.0,Assault,70.83,High
110,27.54472511,76.028916075,2,5.5,9.0,"Burglary, Harassment",64.58,High
111,21.529790275,73.45802968999999,2,5.0,9.0,"Burglary, Harassment",61.11,High
112,25.46353594,76.0119749,2,1.0,1.0,"Burglary, Fraud",0.0,Safe
113,26.764318914999997,77.41503047500001,2,5.0,8.0,"Assault, Burglary",56.94,Moderate
114,24.415566565,75.84912529,2,5.5,10.0,"Fraud, Harassment",68.75,High
115,26.49841162,74.05476299,2,6.0,10.0,"Burglary, Harassment",72.22,High
116,19.41811971,76.609783805,2,5.5,8.0,"Burglary, Fraud",60.42,High
117,24.719464015,76.58188392,2,8.5,9.0,"Burglary, Harassment",85.42,Extreme
118,28.78135702,76.253229325,2,3.5,6.0,"Assault, Harassment",38.19,Low
119,25.085593985000003,74.637513185,2,5.5,6.0,"Burglary, Theft",52.08,Moderate
120,23.618826335,72.27078675,2,5.0,5.0,Harassment,44.44,Moderate
121,23.276385005,76.634505735,2,9.0,10.0,"Harassment, Theft",93.06,Extreme
122,22.516709945,73.16327794,2,6.0,9.0,"Assault, Fraud",68.06,High
123,20.83718749,76.58411166,2,8.0,10.0,"Burglary, Harassment",86.11,Extreme
124,27.601887656666666,75.22360263333333,3,5.0,7.0,"Fraud, Harassment",53.9,Moderate
125,21.8779809,77.33573967,3,6.666666666666667,10.0,"Assault, Harassment",77.98,High
126,25.398238125,74.797912725,4,3.5,9.0,"Burglary, Harassment, Theft",52.62,Moderate
127,22.016442745,72.080556385,2,6.0,9.0,"Burglary, Theft",68.06,High
128,27.674566695,73.57728589999999,2,7.5,9.0,Burglary,78.47,High
129,19.20042513,73.63667453,2,7.0,9.0,Theft,75.0,High
130,25.481975050000003,76.71017358,2,5.0,6.0,Assault,48.61,Moderate
131,20.421230675,73.37927041,2,7.5,8.0,"Assault, Burglary",74.31,High
132,22.42038112,72.417637075,2,5.0,7.0,"Assault, Burglary",52.78,Moderate
133,20.551693925,73.628011415,2,8.0,10.0,"Assault, Fraud",86.11,Extreme
134,28.66325879,77.32693998333333,3,5.333333333333333,9.0,"Assault, Burglary, Theft",64.55,High
135,28.757270895,72.31875299000001,2,10.0,10.0,"Burglary, Fraud",100.0,Extreme
136,20.957061266666667,77.05067935666666,3,8.333333333333334,10.0,"Assault, Harassment",89.55,Extreme
137,27.68545642,77.319175795,2,9.0,9.0,"Assault, Theft",88.89,Extreme
138,21.813959824999998,72.07671948,2,7.5,8.0,"Burglary, Harassment",74.31,High
139,28.48255991,77.07958172,2,6.5,9.0,"Fraud, Theft",71.53,High
140,25.501651504999998,73.69984116,2,3.0,3.0,"Burglary, Fraud",22.22,Low
141,19.923435785,74.395214855,2,3.5,6.0,"Assault, Burglary",38.19,Low
142,26.453282915,73.87747734,2,4.5,5.0,"Fraud, Harassment",40.97,Moderate
143,29.010807235,73.76992903,2,7.0,7.0,"Burglary, Harassment",66.67,High
144,28.389288473333334,76.69294817000001,3,4.0,5.0,"Fraud, Harassment, Theft",38.63,Low
145,27.864305925,75.701809605,2,4.0,4.0,"Burglary, Theft",33.33,Low
146,22.53548287,76.12546297666667,3,4.333333333333333,6.0,"Assault, Burglary, Fraud",45.11,Moderate
147,24.81096816,74.443827375,2,8.0,10.0,"Fraud, Theft",86.11,Extreme
148,25.47615761,72.168679235,2,5.5,6.0,Fraud,52.08,Moderate
149,19.501251155,73.614279995,2,5.0,5.0,"Assault, Burglary",44.44,Moderate
150,28.3541341,75.06607782,2,4.5,8.0,"Assault, Burglary",53.47,Moderate
151,29.21205940333333,72.89484777666667,3,5.0,9.0,"Harassment, Theft",62.24,High
152,24.823830004999998,72.65865153,2,4.0,5.0,"Assault, Harassment",37.5,Low
153,26.279194165,75.54965853499999,2,6.5,10.0,"Assault, Burglary",75.69,High
154,20.49904206,77.991262925,2,6.5,7.0,"Harassment, Theft",63.19,High
155,25.753137945,76.84273602,2,2.5,4.0,Harassment,22.92,Low
156,28.187982843333334,75.66057614,3,4.333333333333333,10.0,"Burglary, Fraud, Harassment",61.77,High
157,21.29468712,77.31642342500001,2,3.0,4.0,"Assault, Fraud",26.39,Low
158,23.204196855,76.36757802,2,5.5,7.0,"Assault, Theft",56.25,Moderate
159,20.104216705,72.31667872,2,2.5,4.0,"Assault, Harassment",22.92,Low
160,21.06254334,77.506659255,2,8.0,10.0,Assault,86.11,Extreme
161,19.724352736666667,76.08224380333333,3,6.0,9.0,"Assault, Burglary, Harassment",69.18,High
162,20.82132456,74.43824907999999,2,5.0,6.0,"Fraud, Theft",48.61,Moderate
163,27.362900705,77.137161835,2,7.5,8.0,Assault,74.31,High
164,24.001318189999996,76.34155201,3,8.666666666666666,9.0,"Fraud, Harassment, Theft",87.7,Extreme
165,25.986897955,73.29204842,2,8.5,10.0,"Assault, Fraud",89.58,Extreme
166,21.464894205,74.022950565,2,3.0,3.0,Fraud,22.22,Low
167,25.717236374,76.957023054,5,4.8,8.0,"Fraud, Harassment",58.1,Moderate
168,27.25296538,73.59150611,2,7.5,8.0,Burglary,74.31,High
169,24.300501914999998,75.29073059,2,5.0,8.0,"Assault, Harassment",56.94,Moderate
170,22.742473245,73.27607595,2,4.0,7.0,"Harassment, Theft",45.83,Moderate
171,22.826519599999997,77.286931875,2,6.0,7.0,Burglary,59.72,Moderate
172,29.37970532,74.71613533,2,2.5,4.0,"Fraud, Harassment",22.92,Low
173,26.813477775,77.09371476499999,2,2.5,4.0,"Burglary, Fraud",22.92,Low
174,29.008609935,74.740234885,2,6.5,8.0,Burglary,67.36,High
175,28.00429862,75.06847365499999,2,4.0,7.0,"Burglary, Harassment",45.83,Moderate
176,20.00364797,75.01822557,2,7.5,9.0,"Harassment, Theft",78.47,High
177,21.376697274999998,77.35475848,2,4.5,5.0,"Harassment, Theft",40.97,Moderate
178,26.19910913,73.336206535,2,4.5,5.0,"Assault, Harassment",40.97,Moderate
179,25.551309055,77.577870835,2,7.0,8.0,"Assault, Burglary",70.83,High
180,21.115145499999997,72.1907521,2,9.0,9.0,"Fraud, Theft",88.89,Extreme
181,21.19752872,73.03618585999999,2,5.5,7.0,"Burglary, Theft",56.25,Moderate
182,21.70088298,77.60308011000001,2,5.0,9.0,Theft,61.11,High
183,23.936140084999998,77.14441937000001,2,10.0,10.0,Fraud,100.0,Extreme
184,29.174182655000003,75.43960007000001,2,4.5,8.0,Assault,53.47,Moderate
185,22.461324465,72.157039465,2,5.5,9.0,"Fraud, Theft",64.58,High
186,24.081111555,76.851694115,2,4.5,7.0,"Harassment, Theft",49.31,Moderate
187,25.225505585,75.03147972,2,4.0,7.0,"Burglary, Fraud",45.83,Moderate
188,20.65399193,76.20718120500001,2,7.5,9.0,"Burglary, Harassment",78.47,High
189,20.438319295,76.678150775,2,6.5,7.0,"Assault, Burglary",63.19,High
190,23.95557426,75.89089988,2,8.0,9.0,"Fraud, Theft",81.94,Extreme
191,20.141654029999998,73.98147457,2,4.0,7.0,"Burglary, Harassment",45.83,Moderate
192,27.299205935,73.76491886,2,5.5,6.0,"Burglary, Harassment",52.08,Moderate
193,27.20875764,76.95831111,2,9.0,10.0,"Assault, Burglary",93.06,Extreme
194,24.1606319,76.695631335,2,8.0,8.0,"Assault, Harassment",77.78,High
195,25.69420784,75.351767895,2,2.5,3.0,"Burglary, Fraud",18.75,Safe
196,26.27382357666667,73.53275052,3,3.3333333333333335,5.0,"Fraud, Harassment",34.0,Low
197,21.766098435,75.25496571,2,7.5,9.0,"Fraud, Harassment",78.47,High
198,22.579516115,75.61869806,2,6.5,9.0,Theft,71.53,High
199,22.630024544999998,74.53542696,2,6.5,8.0,"Assault, Fraud",67.36,High
200,26.29989213,75.01187575,3,7.666666666666667,8.0,"Assault, Burglary, Theft",76.59,High
201,20.87441922,73.8363011,2,7.5,10.0,"Burglary, Harassment",82.64,Extreme
202,22.01846098,74.646151425,2,5.0,6.0,"Assault, Theft",48.61,Moderate
203,22.262231573333334,73.01822872333334,3,6.333333333333333,10.0,"Burglary, Harassment",75.66,High
204,25.651210475,75.17559964,2,2.0,2.0,"Burglary, Theft",11.11,Safe
205,20.58135498,72.89795853000001,2,7.0,8.0,"Assault, Harassment",70.83,High
206,28.461718429999998,75.267501305,2,5.5,7.0,"Fraud, Theft",56.25,Moderate
207,24.308136855,73.25146139,2,2.5,4.0,"Burglary, Theft",22.92,Low
208,23.381764805,77.40422480000001,2,7.0,10.0,"Assault, Burglary",79.17,High
209,20.088040175,76.68573115,2,8.5,10.0,"Assault, Theft",89.58,Extreme
210,27.342345385,76.365274215,2,7.0,9.0,"Assault, Harassment",75.0,High
211,29.830469585,72.46535926,2,5.0,7.0,"Assault, Theft",52.78,Moderate
212,22.714684939999998,76.169410645,2,6.0,9.0,"Harassment, Theft",68.06,High
213,23.75628495,74.289339565,2,5.5,7.0,"Assault, Harassment",56.25,Moderate
214,23.57805514,74.350598155,2,6.5,7.0,"Assault, Theft",63.19,High
215,27.12920269,77.22879688,3,6.333333333333333,8.0,"Burglary, Harassment",67.33,High
216,19.936475905,75.771193255,2,6.0,8.0,"Harassment, Theft",63.89,High
217,28.15741447,72.146539265,2,8.0,10.0,"Fraud, Theft",86.11,Extreme
218,22.043980225,73.955623845,2,4.5,7.0,"Fraud, Harassment",49.31,Moderate
219,26.467627210000003,74.206859395,2,4.5,5.0,"Assault, Burglary",40.97,Moderate
220,28.222451865,76.332070905,2,3.0,3.0,"Fraud, Harassment",22.22,Low
221,21.979950764999998,75.005268,2,4.5,8.0,"Fraud, Harassment",53.47,Moderate
222,22.63131685,75.272338255,2,6.0,9.0,"Assault, Harassment",68.06,High
223,19.825731044999998,73.58466517,2,2.5,3.0,"Burglary, Harassment",18.75,Safe
224,21.7590258,73.77777191999999,2,10.0,10.0,"Fraud, Harassment",100.0,Extreme
225,27.928293670000002,74.56626865000001,2,2.5,4.0,"Fraud, Harassment",22.92,Low
226,19.088234756666665,77.13552246666667,3,5.666666666666667,10.0,"Burglary, Theft",71.03,High
227,23.723973995,77.27828712499999,2,7.5,9.0,Assault,78.47,High
228,24.174347595,73.99768101000001,2,5.5,6.0,"Fraud, Theft",52.08,Moderate
229,27.94355869,75.96483594,2,6.0,7.0,"Fraud, Theft",59.72,Moderate
230,25.150807309999998,73.513403985,2,5.5,7.0,"Assault, Fraud",56.25,Moderate
231,22.26212679,75.96605186,2,4.5,6.0,"Assault, Theft",45.14,Moderate
232,29.06601082,72.255096135,2,6.0,7.0,"Assault, Harassment",59.72,Moderate
233,21.05699357,74.70973267,2,3.0,5.0,Assault,30.56,Low
234,29.91976194,77.735137835,2,5.5,9.0,"Burglary, Theft",64.58,High
235,23.92207132,73.449826235,2,8.0,9.0,"Assault, Burglary",81.94,Extreme
236,28.575404835,74.30723517,2,6.0,7.0,"Burglary, Fraud",59.72,Moderate
237,28.33640316,72.67028700333333,3,7.333333333333333,10.0,"Harassment, Theft",82.61,Extreme
238,28.616005765,73.40395107500001,2,8.5,10.0,"Assault, Burglary",89.58,Extreme
239,21.70032052,76.09688410499999,2,6.0,6.0,"Assault, Harassment",55.56,Moderate
240,27.16415464,73.98566831,2,5.5,10.0,"Fraud, Theft",68.75,High
241,26.34027948666667,74.45453308333333,3,5.666666666666667,9.0,"Fraud, Harassment, Theft",66.87,High
242,21.98650151,73.35343443,2,3.0,4.0,Fraud,26.39,Low
243,22.811876220000002,77.731267085,2,3.5,5.0,Burglary,34.03,Low
244,27.403554005,75.36682684,2,6.0,10.0,"Assault, Fraud",72.22,High
245,28.37941229,76.3242153325,4,5.75,9.0,"Assault, Theft",68.24,High
246,25.55570077,76.70648374999999,2,4.0,5.0,Assault,37.5,Low
247,19.139075665,76.986918595,2,5.5,6.0,"Harassment, Theft",52.08,Moderate
248,20.674325959999997,73.76994983,2,7.5,8.0,"Harassment, Theft",74.31,High
249,25.080883025,77.012631265,2,6.0,10.0,"Assault, Theft",72.22,High
250,19.799513365,73.34316097499999,2,5.0,6.0,"Burglary, Fraud",48.61,Moderate
251,21.56835994,76.279566765,2,9.0,9.0,"Burglary, Fraud",88.89,Extreme
252,24.61268924,72.877695185,2,6.0,8.0,"Assault, Theft",63.89,High
253,25.761783525,75.50077398,2,6.5,8.0,"Fraud, Harassment",67.36,High
254,27.56711467,75.589806315,2,9.5,10.0,"Burglary, Theft",96.53,Extreme
255,25.615660220000002,76.49191948,2,1.0,1.0,"Burglary, Theft",0.0,Safe
256,21.340226225,74.35477536,2,5.0,6.0,Assault,48.61,Moderate
257,23.497198835,76.858309075,2,6.0,9.0,"Burglary, Theft",68.06,High
258,19.532669625,73.15115356999999,2,7.0,10.0,"Burglary, Theft",79.17,High
259,22.10298708,75.88644483,2,7.5,9.0,"Assault, Burglary",78.47,High
260,23.08819692,72.051250935,2,2.5,4.0,Harassment,22.92,Low
261,21.385352665,74.93967869,2,4.5,5.0,"Burglary, Fraud",40.97,Moderate
262,28.642495776666664,77.86190099,3,5.333333333333333,9.0,"Burglary, Fraud, Harassment",64.55,High
263,27.999642095,72.60944674000001,2,3.5,5.0,"Harassment, Theft",34.03,Low
264,25.780459909999998,77.297428085,2,3.0,5.0,"Assault, Burglary",30.56,Low
265,19.606716885,74.8031064,2,6.0,7.0,"Assault, Fraud",59.72,Moderate
266,25.388586959999998,77.35653744999999,2,3.5,5.0,"Burglary, Fraud",34.03,Low
267,22.933486825000003,75.86643292,2,5.5,8.0,Burglary,60.42,High
268,21.236033925,76.33039989,2,6.5,7.0,"Assault, Fraud",63.19,High
269,26.613735650000002,74.081125335,2,4.0,5.0,Assault,37.5,Low
270,25.75596178,75.58772236499999,2,4.0,6.0,"Harassment, Theft",41.67,Moderate
271,22.59951545,72.61514395,2,9.5,10.0,"Assault, Theft",96.53,Extreme
272,28.63283461,75.67655574,2,8.0,10.0,"Assault, Fraud",86.11,Extreme
273,24.3020247,75.65664763,2,6.0,7.0,"Assault, Fraud",59.72,Moderate
274,22.149582605,77.27484304500001,2,6.5,9.0,"Burglary, Theft",71.53,High
275,19.25217066,73.07479999,2,4.5,7.0,"Burglary, Harassment",49.31,Moderate
276,20.89073474,73.10272076999999,2,7.0,8.0,"Assault, Harassment",70.83,High
277,22.66778387,72.534924565,2,3.0,3.0,"Assault, Fraud",22.22,Low
278,22.753979595,72.474703675,2,3.0,4.0,"Assault, Theft",26.39,Low
279,28.330580535,75.17176902,2,7.0,9.0,"Assault, Burglary",75.0,High
280,19.67770243,75.235835845,2,2.5,3.0,Burglary,18.75,Safe
281,26.20616954,74.21871527,2,1.5,2.0,Harassment,7.64,Safe
282,29.386786295,76.321889945,2,7.5,10.0,"Burglary, Harassment",82.64,Extreme
283,23.5088936,76.399837245,2,9.0,9.0,"Assault, Burglary",88.89,Extreme
284,25.044195725,74.241588195,2,7.5,8.0,"Assault, Fraud",74.31,High
285,25.975328575,75.95084442000001,2,5.0,7.0,"Assault, Theft",52.78,Moderate
286,25.270992725,76.677748205,2,4.5,7.0,"Assault, Theft",49.31,Moderate
287,29.30017295,76.48882963,2,3.0,5.0,"Fraud, Theft",30.56,Low
288,27.406042655,76.10965121000001,2,6.0,9.0,"Assault, Harassment",68.06,High
